Category,Account Code,Account Name,2025,2026
Taxes & Franchise Fees,31100,Property Taxes,29970622,32477451
Taxes & Franchise Fees,31102,Property Tax Replacement,253919,254773
Taxes & Franchise Fees,31810,Franchise Fees,715000,740000
Taxes & Franchise Fees,31820,Cable Franchise,60000,60000
Taxes & Franchise Fees,31830,Electricity Franchise Fee,400000,415000
Taxes & Franchise Fees,31831,Electricity Franchise Fee,0,0
Licenses & Permits,32110,Beer/Wine/Liquor License Fees,40000,40000
Licenses & Permits,32120,Liquor Licenses,0,0
Licenses & Permits,32130,Catering Permits,2400,2400
Licenses & Permits,32150,Misc Business Permits,14559,18200
Licenses & Permits,32210,Building Permits,2502600,2692600
Licenses & Permits,32211,Building Permit/Engineering Rev,175000,325000
Licenses & Permits,32220,Electrical Permits,313420,537100
Licenses & Permits,32230,Plumbing Permits,301100,426500
Licenses & Permits,32240,Plan Check Fees,852125,1127200
Licenses & Permits,32255,Investigation Fees,5000,10000
Licenses & Permits,32260,Misc. Building Permits,2003,5000
Licenses & Permits,32261,Mechanical Permit,365100,363700
Licenses & Permits,32264,Sign Permits,5900,7500
Intergovernmental & Grants,33100,Federal Grant,1085759,52063054
Intergovernmental & Grants,33110,Vallivue Resource Officer,278775,300000
Intergovernmental & Grants,33111,Caldwell District Res Officer,18,268
Intergovernmental & Grants,33116,Elevate Acadamy Res Officer,89285,97374
Intergovernmental & Grants,33117,Thomas Jeffereson/Heritage SRO,89285,138512
Intergovernmental & Grants,33150,Dept of Transportation Reimb.,0,0
Intergovernmental & Grants,33200,Urban Renewal Projects,123520,385900
Intergovernmental & Grants,33400,State Grants,10300,20000
Intergovernmental & Grants,33530,St Rev Shared Sales Tax,6462846,6191153
Intergovernmental & Grants,33540,Gas Tax,4991928,5656544
Intergovernmental & Grants,33550,Road & Bridge St Revenue,11900,25000
Intergovernmental & Grants,33570,State Liquor Apportionment,652570,610000
Intergovernmental & Grants,33910,Payment In Lieu Of Taxes,0,0
Charges for Services: General,34005,Alcohol Sale/20% Of Sales,17900,13600
Charges for Services: General,34010,Charges for Services,31372177,33896836
Charges for Services: General,34011,Tax Collected/Contracted Service,66641,101866
Charges for Services: Parks & Recreation,34012,Recycling,727719,1691067
Charges for Services: General,34013,Special Project Services,1000000,3921632
Charges for Services: Public Safety,34016,Code Enforcement Charges,45000,26130
Charges for Services: Utilities,34018,Water Hydrant Fee,25000,14900
Charges for Services: Parks & Recreation,34020,Bad Debt Recovery,2600,3100
Charges for Services: General,34030,Admin/Payroll Services,2844250,2688025
Charges for Services: General,34031,Senior Citizen Van Fees,2000,2000
Charges for Services: General,34036,CAP Facilties,500264,432389
Charges for Services: Utilities,34040,Utility Billing Services,846895,804219
Charges for Services: General,34041,Line Locate CAP,44000,34650
Charges for Services: Utilities,34042,Meter CAP,282,740
Charges for Services: General,34050,City Attorney Services,50,5358
Charges for Services: General,34061,Asphalt Repair Charges,25,0
Charges for Services: General,34062,Distribution System Connection Fee,1259217,3231020
Charges for Services: General,34063,60% Capital Improvement Fee,0,0
Charges for Services: General,34064,Interceptor Fee,2000000,1571091
Charges for Services: General,34065,Main Extension Fee,105503,1955800
Charges for Services: Planning & Engineering,34066,Impact Fee-Pump Development,0,0
Charges for Services: Public Safety,34067,Fireline Connection,65000,33300
Charges for Services: General,34069,Residential/Industrial Trunk,1500,0
Charges for Services: Utilities,34070,Meter Installation,752000,1113600
Charges for Services: General,34080,Turn On Fees,235800,416300
Charges for Services: General,34090,Septic Dump Services,108538,6828445
Charges for Services: Planning & Engineering,34095,Treat. Plant Capacity Fee,1947965,1614088
Charges for Services: General,34110,Rebates/Discounts,0,0
Charges for Services: Planning & Engineering,34111,Eng/Subdivision Plats,208400,225000
Charges for Services: Planning & Engineering,34113,Eng/Special Use Permit Non-PUD,5000,7500
Charges for Services: Planning & Engineering,34115,Eng/Annexation,5000,7500
Charges for Services: General,34117,Building Permit/P&Z Review Fee,285500,847500
Charges for Services: Planning & Engineering,34118,Development Agreements (P&Z),23500,14400
Charges for Services: Planning & Engineering,34121,Subdivision Plats Non-PUD,140500,158500
Charges for Services: General,34123,Special Use Permits,21720,17500
Charges for Services: Planning & Engineering,34124,Planned Unit Developments,650,590
Charges for Services: Planning & Engineering,34125,Zone Change,2000,5000
Charges for Services: General,34126,Text Amendment,50,0
